eta,grid,time,nonlinear_iterations
0.1,32,1e-06,2
0.1,32,2.1e-06,2
0.1,32,3.31e-06,2
0.1,32,4.641000000000001e-06,2
0.1,32,6.105100000000001e-06,2
0.1,32,7.715610000000002e-06,2
0.1,32,9.487171000000002e-06,2
0.1,32,1.14358881e-05,2
0.1,32,1.357947691e-05,2
0.1,32,1.5937424601e-05,2
0.1,32,1.853116706110001e-05,2
0.1,32,2.138428376721001e-05,2
0.1,32,2.452271214393101e-05,2
0.1,32,2.797498335832411e-05,2
0.1,32,3.177248169415653e-05,2
0.1,32,3.594972986357219e-05,2
0.1,32,4.05447028499294e-05,2
0.1,32,4.559917313492235e-05,2
0.1,32,5.115909044841459e-05,2
0.1,32,5.727499949325605e-05,2
0.1,32,6.400249944258165e-05,2
0.1,32,7.140274938683982e-05,3
0.1,32,7.954302432552381e-05,3
0.1,32,8.849732675807619e-05,3
0.1,32,9.834705943388383e-05,3
0.1,32,0.0001091817653772722,3
0.1,32,0.0001210999419149994,3
0.1,32,0.0001342099361064994,3
0.1,32,0.0001486309297171494,3
0.1,32,0.0001644940226888643,3
0.1,32,0.0001819434249577508,3
0.1,32,0.0002011377674535259,3
0.1,32,0.0002222515441988785,3
0.1,32,0.0002454766986187664,3
0.1,32,0.000271024368480643,3
0.1,32,0.0002991268053287073,3
0.1,32,0.0003300394858615781,3
0.1,32,0.0003640434344477359,3
0.1,32,0.0004014477778925096,3
0.1,32,0.0004425925556817605,3
0.1,32,0.0004878518112499367,3
0.1,32,0.0005376369923749304,3
0.1,32,0.0005924006916124235,3
0.1,32,0.0006526407607736659,3
0.1,32,0.0007189048368510325,3
0.1,32,0.0007917953205361358,3
0.1,32,0.0008719748525897494,3
0.1,32,0.0009601723378487245,3
0.1,32,0.001057189571633597,3
0.1,32,0.001163908528796957,3
0.1,32,0.001281299381676653,3
0.1,32,0.001410429319844318,3
0.1,32,0.00155247225182875,4
0.1,32,0.001708719477011625,4
0.1,32,0.001880591424712788,4
0.1,32,0.002069650567184067,4
0.1,32,0.002277615623902474,4
0.1,32,0.002506377186292721,4
0.1,32,0.002758014904921994,4
0.1,32,0.003034816395414193,4
0.1,32,0.003339298034955613,4
0.1,32,0.003674227838451174,4
0.1,32,0.004042650622296292,4
0.1,32,0.004447915684525921,4
