variant,eta_target,grid,step,time,dt,eta_measured,linear_iters,nonlinear_iters,final_residual_norm,rejections_before_accept
aligned_guard_1p1,0.5,32,1,1e-06,1e-06,1.59750233284723e-05,2,2,4.515169254137223e-08,0
aligned_guard_1p1,0.5,32,2,2.1000000000000002e-06,1.1e-06,1.757278725259354e-05,2,2,5.461351861920422e-08,0
aligned_guard_1p1,0.5,32,3,3.3100000000000005e-06,1.21e-06,1.9330382501225717e-05,2,2,6.599282758128408e-08,0
aligned_guard_1p1,0.5,32,4,4.641000000000001e-06,1.3310000000000003e-06,2.1263803741757902e-05,2,2,8.027129977188464e-08,0
aligned_guard_1p1,0.5,32,5,6.105100000000001e-06,1.4641000000000003e-06,2.3390647530700048e-05,2,2,9.68104637147419e-08,0
aligned_guard_1p1,0.5,32,6,7.715610000000002e-06,1.6105100000000006e-06,2.5730273010490045e-05,2,2,1.1744654544817703e-07,0
aligned_guard_1p1,0.5,32,7,9.487171000000002e-06,1.7715610000000007e-06,2.8303978784364603e-05,2,2,1.4208556238855417e-07,0
aligned_guard_1p1,0.5,32,8,1.1435888100000002e-05,1.948717100000001e-06,3.113519760605686e-05,2,2,1.7184547035280426e-07,0
aligned_guard_1p1,0.5,32,9,1.3579476910000003e-05,2.1435888100000012e-06,3.424971069621919e-05,2,2,2.0804541402155177e-07,0
aligned_guard_1p1,0.5,32,10,1.5937424601000003e-05,2.3579476910000015e-06,3.767588367899772e-05,2,2,2.5170511383760164e-07,0
aligned_guard_1p1,0.5,32,11,1.8531167061100006e-05,2.5937424601000017e-06,4.144492634093756e-05,2,2,3.0456170583230486e-07,0
aligned_guard_1p1,0.5,32,12,2.1384283767210007e-05,2.853116706110002e-06,4.559117864324101e-05,2,2,3.6851359744454204e-07,0
aligned_guard_1p1,0.5,32,13,2.452271214393101e-05,3.1384283767210024e-06,5.015242566895657e-05,2,2,4.461057496776414e-07,0
aligned_guard_1p1,0.5,32,14,2.7974983358324114e-05,3.452271214393103e-06,5.517024447217984e-05,2,2,5.396737610615575e-07,0
aligned_guard_1p1,0.5,32,15,3.177248169415653e-05,3.7974983358324136e-06,6.069038609988066e-05,2,2,6.530169486733154e-07,0
aligned_guard_1p1,0.5,32,16,3.5949729863572185e-05,4.177248169415655e-06,6.67631964110022e-05,2,2,7.903532905536048e-07,0
aligned_guard_1p1,0.5,32,17,4.0544702849929404e-05,4.594972986357221e-06,7.344407969460353e-05,2,2,9.564321880355525e-07,0
aligned_guard_1p1,0.5,32,18,4.559917313492235e-05,5.0544702849929435e-06,8.079400951701225e-05,2,2,1.1573552497159416e-06,0
aligned_guard_1p1,0.5,32,19,5.115909044841459e-05,5.559917313492238e-06,8.888009170503944e-05,2,2,1.4005978576090831e-06,0
aligned_guard_1p1,0.5,32,20,5.727499949325605e-05,6.115909044841462e-06,9.777618489761413e-05,2,2,1.6950135374292015e-06,0
aligned_guard_1p1,0.5,32,21,6.400249944258165e-05,6.727499949325609e-06,0.00010756358593056436,3,3,2.1196819981397237e-10,0
aligned_guard_1p1,0.5,32,22,7.140274938683982e-05,7.40024994425817e-06,0.00011833177970010788,3,3,2.601399868556315e-10,0
aligned_guard_1p1,0.5,32,23,7.954302432552381e-05,8.140274938683989e-06,0.00013017927762124776,3,3,4.0804378390599494e-10,0
aligned_guard_1p1,0.5,32,24,8.84973267580762e-05,8.954302432552388e-06,0.00014321453170877013,3,3,5.295741536533978e-10,0
aligned_guard_1p1,0.5,32,25,9.834705943388383e-05,9.849732675807628e-06,0.00015755694864689798,3,3,6.864265651229378e-10,0
aligned_guard_1p1,0.5,32,26,0.00010918176537727222,1.0834705943388392e-05,0.00017333800822267142,3,3,8.809165991900665e-10,0
aligned_guard_1p1,0.5,32,27,0.00012109994191499945,1.1918176537727232e-05,0.0001907024984167834,3,3,1.1901984287453028e-09,0
aligned_guard_1p1,0.5,32,28,0.0001342099361064994,1.3109994191499957e-05,0.00020980987982876595,3,3,1.6447592377728157e-09,0
aligned_guard_1p1,0.5,32,29,0.00014863092971714937,1.4420993610649954e-05,0.0002308357935874329,3,3,2.1754108617673782e-09,0
aligned_guard_1p1,0.5,32,30,0.00016449402268886432,1.586309297171495e-05,0.0002539737285710615,3,3,2.889361109527758e-09,0
aligned_guard_1p1,0.5,32,31,0.00018194342495775077,1.7449402268886447e-05,0.00027943686565077815,3,3,3.8113514029737115e-09,0
aligned_guard_1p1,0.5,32,32,0.00020113776745352586,1.9194342495775094e-05,0.00030746011881487673,3,3,5.109733993778256e-09,0
aligned_guard_1p1,0.5,32,33,0.00022225154419887848,2.1113776745352607e-05,0.00033830239546731977,3,3,6.7980695849316095e-09,0
aligned_guard_1p1,0.5,32,34,0.00024547669861876636,2.322515441988787e-05,0.00037224910096549015,3,3,9.05646895319758e-09,0
aligned_guard_1p1,0.5,32,35,0.000271024368480643,2.554766986187666e-05,0.000409614915627226,3,3,1.207658494042647e-08,0
aligned_guard_1p1,0.5,32,36,0.00029912680532870735,2.8102436848064327e-05,0.0004507468760506808,3,3,1.607055610335978e-08,0
aligned_guard_1p1,0.5,32,37,0.0003300394858615781,3.091268053287076e-05,0.0004960277967314777,3,3,2.13962086677896e-08,0
aligned_guard_1p1,0.5,32,38,0.0003640434344477359,3.4003948586157844e-05,0.0005458800727162151,3,3,2.8514882427055307e-08,0
aligned_guard_1p1,0.5,32,39,0.00040144777789250956,3.7404343444773634e-05,0.0006007699094964211,3,3,3.7981339525997905e-08,0
aligned_guard_1p1,0.5,32,40,0.00044259255568176054,4.1144777789251e-05,0.0006612120326468191,3,3,5.060885761123573e-08,0
aligned_guard_1p1,0.5,32,41,0.00048785181124993667,4.52592555681761e-05,0.0007277749369881348,3,3,6.74535282247399e-08,0
aligned_guard_1p1,0.5,32,42,0.0005376369923749304,4.978518112499371e-05,0.0008010867434718771,3,3,8.990247382372255e-08,0
aligned_guard_1p1,0.5,32,43,0.0005924006916124235,5.4763699237493086e-05,0.0008818417417410089,3,3,1.198430806041554e-07,0
aligned_guard_1p1,0.5,32,44,0.0006526407607736659,6.02400691612424e-05,0.0009708077076543263,3,3,1.5977718449677166e-07,0
aligned_guard_1p1,0.5,32,45,0.0007189048368510325,6.626407607736664e-05,0.0010688340982420177,3,3,2.1304124017475982e-07,0
aligned_guard_1p1,0.5,32,46,0.0007917953205361358,7.289048368510331e-05,0.0011768612419186294,3,3,2.8412915489650946e-07,0
aligned_guard_1p1,0.5,32,47,0.0008719748525897494,8.017953205361364e-05,0.0012959306596987377,3,3,3.7900335557888417e-07,0
aligned_guard_1p1,0.5,32,48,0.0009601723378487245,8.819748525897502e-05,0.0014271966740929353,3,3,5.056780778235929e-07,0
aligned_guard_1p1,0.5,32,49,0.001057189571633597,9.701723378487253e-05,0.0015719394868472785,3,3,6.748539098987132e-07,0
aligned_guard_1p1,0.5,32,50,0.001163908528796957,0.00010671895716335979,0.0017315799353449244,3,3,9.008673110319232e-07,0
aligned_guard_1p1,0.5,32,51,0.0012812993816766526,0.00011739085287969578,0.0019076961710585828,3,3,1.2029185976505528e-06,0
aligned_guard_1p1,0.5,32,52,0.001410429319844318,0.00012912993816766537,0.002102042542777849,3,3,1.606764456690855e-06,0
aligned_guard_1p1,0.5,32,53,0.00155247225182875,0.00014204293198443192,0.002316571040298586,4,4,4.835634950248202e-09,0
aligned_guard_1p1,0.5,32,54,0.0017087194770116251,0.00015624722518287512,0.0025534555327591953,4,4,7.111093810277305e-09,0
aligned_guard_1p1,0.5,32,55,0.0018805914247127878,0.00017187194770116264,0.002815119593661669,4,4,1.0462239040852639e-08,0
aligned_guard_1p1,0.5,32,56,0.0020696505671840668,0.00018905914247127894,0.0031042680002010053,4,4,1.5396060004436028e-08,0
aligned_guard_1p1,0.5,32,57,0.0022776156239024737,0.00020796505671840686,0.003423922818661616,4,4,2.266836026412069e-08,0
aligned_guard_1p1,0.5,32,58,0.0025063771862927214,0.00022876156239024756,0.003777464667003709,4,4,3.3396506954356885e-08,0
aligned_guard_1p1,0.5,32,59,0.0027580149049219937,0.00025163771862927233,0.004168679996236977,4,4,4.9229507736787734e-08,0
aligned_guard_1p1,0.5,32,60,0.0030348163954141932,0.0002768014904921996,0.0046018153485454325,4,4,7.262027023118292e-08,0
aligned_guard_1p1,0.5,32,61,0.0033392980349556127,0.0003044816395414196,0.005081639704767918,4,4,1.0720561267642034e-07,0
aligned_guard_1p1,0.5,32,62,0.0036742278384511743,0.00033492980349556157,0.005613516210055252,4,4,1.583962752350294e-07,0
aligned_guard_1p1,0.5,32,63,0.004042650622296292,0.00036842278384511775,0.006203484765291463,4,4,2.3424076433086595e-07,0
aligned_guard_1p1,0.5,32,64,0.004447915684525921,0.0004052650622296296,0.0068583571930401184,4,4,3.4674928162381334e-07,0
aligned_guard_1p1,0.5,32,65,0.004893707252978514,0.0004457915684525926,0.007585826928329582,4,4,5.138640771438964e-07,0
aligned_guard_1p1,0.5,32,66,0.005384077978276365,0.0004903707252978519,0.00839459544160071,4,4,7.624470447584852e-07,0
aligned_guard_1p1,0.5,32,67,0.005923485776104002,0.0005394077978276372,0.009294517864150451,4,4,1.1327965736747212e-06,0
aligned_guard_1p1,0.5,32,68,0.006516834353714403,0.000593348577610401,0.010296770539352715,4,4,1.6855149871689473e-06,0
aligned_guard_1p1,0.5,32,69,0.007169517789085845,0.0006526834353714411,0.011414043570543528,5,5,2.5966746669610576e-08,0
aligned_guard_1p1,0.5,32,70,0.00788746956799443,0.0007179517789085853,0.012660760747062526,5,5,4.26376565663427e-08,0
aligned_guard_1p1,0.5,32,71,0.008677216524793875,0.0007897469567994438,0.014053331537026235,5,5,7.014664892046944e-08,0
aligned_guard_1p1,0.5,32,72,0.009545938177273262,0.0008687216524793883,0.015610436064357662,5,5,1.1565281082170326e-07,0
aligned_guard_1p1,0.5,32,73,0.01050153199500059,0.0009555938177273272,0.017353346769640492,5,5,1.9112967204920917e-07,0
aligned_guard_1p1,0.5,32,74,0.01155268519450065,0.00105115319950006,0.019306287526396813,5,5,3.1668586327586427e-07,0
aligned_guard_1p1,0.5,32,75,0.012708953713950717,0.001156268519450066,0.02149682980446054,5,5,5.2622679667939e-07,0
aligned_guard_1p1,0.5,32,76,0.01398084908534579,0.0012718953713950728,0.023956322616244835,5,5,8.771729135857644e-07,0
aligned_guard_1p1,0.5,32,77,0.015379933993880369,0.0013990849085345801,0.02672034884816973,5,5,1.4672523895616914e-06,0
aligned_guard_1p1,0.5,32,78,0.016918927393268408,0.0015389933993880383,0.02982919492117509,6,6,5.992057118689028e-08,0
aligned_guard_1p1,0.5,32,79,0.01861182013259525,0.0016928927393268422,0.03336216620428317,6,6,1.1110337702374938e-07,0
aligned_guard_1p1,0.5,32,80,0.020474002145854774,0.0018621820132595267,0.037349237703413626,6,6,2.0695887866585212e-07,0
aligned_guard_1p1,0.5,32,81,0.022522402360440254,0.0020484002145854797,0.04184900515028296,6,6,3.874790169505983e-07,0
aligned_guard_1p1,0.5,32,82,0.024775642596484283,0.0022532402360440277,0.04692788536017483,6,6,7.295299820580506e-07,0
aligned_guard_1p1,0.5,32,83,0.027254206856132713,0.0024785642596484307,0.05265890304654703,6,6,1.3820224984410252e-06,0
aligned_guard_1p1,0.5,32,84,0.029980627541745988,0.002726420685613274,0.059121313153638,7,7,1.1331986643167046e-07,0
aligned_guard_1p1,0.5,32,85,0.032979690295920586,0.0029990627541746015,0.06639973207412525,7,7,2.3942196293247674e-07,0
aligned_guard_1p1,0.5,32,86,0.03627865932551265,0.003298969029592062,0.07458380932716552,7,7,5.100095276828953e-07,0
aligned_guard_1p1,0.5,32,87,0.03990752525806392,0.0036288659325512686,0.08376350353595365,7,7,1.0962225759943341e-06,0
aligned_guard_1p1,0.5,32,88,0.043899277783870316,0.003991752525806396,0.09402801522931246,8,8,1.4951293249786737e-07,0
aligned_guard_1p1,0.5,32,89,0.048290205562257354,0.0043909277783870364,0.10546171147438045,8,8,3.607132108022121e-07,0
aligned_guard_1p1,0.5,32,90,0.0531202261184831,0.004830020556225741,0.11813978928399275,8,8,8.806006887708766e-07,0
aligned_guard_1p1,0.5,32,91,0.058433248730331414,0.005313022611848316,0.13212383292966148,9,9,1.8185799119645665e-07,0
aligned_guard_1p1,0.5,32,92,0.06427757360336456,0.005844324873033148,0.14745778429332887,9,9,5.014382538166061e-07,0
aligned_guard_1p1,0.5,32,93,0.07070633096370102,0.006428757360336463,0.16416496596110147,9,9,1.4038294591616419e-06,0
aligned_guard_1p1,0.5,32,94,0.07777796406007113,0.00707163309637011,0.18224683941219325,10,10,4.4343137585624444e-07,0
aligned_guard_1p1,0.5,32,95,0.08555676046607825,0.007778796406007121,0.20168389983101084,10,10,1.4121391580745945e-06,0
aligned_guard_1p1,0.5,32,96,0.09411343651268608,0.008556676046607835,0.22243859861961646,11,11,6.14902449636781e-07,0
aligned_guard_1p1,0.5,32,97,0.1035257801639547,0.009412343651268619,0.24445941419317788,12,12,3.3028250497102205e-07,0
aligned_guard_1p1,0.5,32,98,0.11387935818035018,0.010353578016395481,0.26768426058990974,12,12,1.3468522969526825e-06,0
aligned_guard_1p1,0.5,32,99,0.1252682939983852,0.01138893581803503,0.29204033007464403,13,13,9.982318549518202e-07,0
aligned_guard_1p1,0.5,32,100,0.13779612339822375,0.012527829399838533,0.3174360828414554,14,14,8.972075475063222e-07,0
aligned_guard_1p1,0.5,32,101,0.15157673573804614,0.013780612339822387,0.3939935136673532,15,15,9.272709236477415e-07,0
aligned_guard_1p1,0.5,32,102,0.16673540931185077,0.015158673573804626,0.46216806392074405,16,16,1.0428156928842253e-06,0
aligned_guard_1p1,0.5,32,103,0.18313493445991913,0.01639952514806837,0.5021290373065109,17,17,1.2492075285908066e-06,0
aligned_guard_1p1,0.5,32,104,0.19946492528860899,0.01632999082868985,0.48605377588878484,18,18,9.000594461941287e-07,0
aligned_guard_1p1,0.5,32,105,0.20786419695295788,0.008399271664348902,0.3134835618109857,13,13,1.5810357055872342e-06,1
aligned_guard_1p1,0.5,32,106,0.21710339578374166,0.009239198830783793,0.36840158383934835,15,15,6.340876841151823e-07,0
aligned_guard_1p1,0.5,32,107,0.22726651449760382,0.010163118713862173,0.41998448171183117,17,17,7.062114739386181e-07,0
