variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,picard_mass_mode,use_m3_limiter,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M1,0.1,32,True,428,4.864485981308412,2.57,2.2944859813084117,3.2686915887850465,3.42,-0.15130841121495342,1.488205861329521,q_derivative,True,6,4,7.72601839993149,
base,M1,0.5,32,True,147,5.884353741496598,3.35,2.534353741496598,3.8639455782312924,3.42,0.44394557823129244,1.522887323943662,q_derivative,True,8,5,5.3609306999715045,
base,M2,0.1,32,True,7006,8.24307736226092,7.72,0.5230773622609197,4.118469882957465,4.53,-0.4115301170425356,2.0014902613155887,q_derivative,True,19,5,350.15536890004296,
base,M2,0.5,32,True,1177,14.860662701784197,14.3,0.5606627017841959,5.305862361937129,5.29,0.015862361937128533,2.80080064051241,q_derivative,True,36,8,96.43149310001172,
base,M3,0.1,32,True,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,q_derivative,True,5,3,2.621007699985057,
base,M3,0.5,32,True,138,6.4855072463768115,4.71,1.7755072463768116,3.050724637681159,3.66,-0.6092753623188409,2.125890736342043,q_derivative,True,18,6,6.3184457999886945,
paper_mass,M1,0.1,32,True,428,4.864485981308412,2.57,2.2944859813084117,3.2686915887850465,3.42,-0.15130841121495342,1.488205861329521,frozen_coeff,True,6,4,13.531755200005136,
paper_mass,M1,0.5,32,True,147,5.884353741496598,3.35,2.534353741496598,3.8639455782312924,3.42,0.44394557823129244,1.522887323943662,frozen_coeff,True,8,5,5.57851819996722,
paper_mass,M2,0.1,32,True,7006,17.248358549814444,7.72,9.528358549814445,4.992435055666571,4.53,0.46243505566657106,3.454898933584927,frozen_coeff,True,29,6,538.6013522000285,
paper_mass,M2,0.5,32,True,1177,31.20390824129142,14.3,16.90390824129142,5.813084112149533,5.29,0.5230841121495331,5.367874890382929,frozen_coeff,True,51,8,57.07611679995898,
paper_mass,M3,0.1,32,True,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,frozen_coeff,True,5,3,0.7365638000192121,
paper_mass,M3,0.5,32,True,138,6.4855072463768115,4.71,1.7755072463768116,3.050724637681159,3.66,-0.6092753623188409,2.125890736342043,frozen_coeff,True,18,6,1.8101308000041172,
paperish,M1,0.1,32,True,428,4.787383177570093,2.57,2.217383177570093,4.7827102803738315,3.42,1.3627102803738316,1.0009770395701025,frozen_coeff,True,5,5,4.15945300005842,
paperish,M1,0.5,32,True,147,5.612244897959184,3.35,2.262244897959184,4.238095238095238,3.42,0.8180952380952382,1.3242375601926164,frozen_coeff,True,9,5,1.6174925999948755,
paperish,M2,0.1,32,True,7006,17.2917499286326,7.72,9.571749928632602,5.78118755352555,4.53,1.2511875535255497,2.991037700911044,frozen_coeff,True,26,6,598.5523399999365,
paperish,M2,0.5,32,True,1177,28.95497026338148,14.3,14.654970263381479,6.501274426508071,5.29,1.211274426508071,4.453737584945112,frozen_coeff,True,49,9,42.42029229993932,
paperish,M3,0.1,32,True,103,3.0679611650485437,2.88,0.18796116504854377,2.621359223300971,3.32,-0.6986407766990288,1.1703703703703703,frozen_coeff,True,6,4,0.744689300074242,
paperish,M3,0.5,32,True,138,6.268115942028985,4.71,1.5581159420289854,3.3840579710144927,3.66,-0.27594202898550746,1.8522483940042827,frozen_coeff,True,18,6,1.6674629000481218,
