variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,picard_mass_mode,use_m3_limiter,nonlinear_tol,linear_solver_backend,mg_flux_coarsening,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M1,0.1,64,True,552,5.2898550724637685,3.02,2.2698550724637685,3.476449275362319,3.57,-0.093550724637681,1.5216258467952057,q_derivative,True,1.2e-06,native,current,6,5,14.048111099982634,
base,M1,0.5,64,True,156,6.634615384615385,3.96,2.674615384615385,4.038461538461538,3.63,0.40846153846153843,1.6428571428571428,q_derivative,True,1.2e-06,native,current,10,5,3.9988948999671265,
base,M3,0.1,64,True,131,3.9160305343511452,3.97,-0.053969465648854964,2.7404580152671754,3.49,-0.7495419847328249,1.4289693593314763,q_derivative,True,1.2e-06,native,current,6,3,2.422380800009705,
base,M3,0.5,64,True,195,11.8,6.61,5.19,3.9076923076923076,3.97,-0.06230769230769262,3.0196850393700787,q_derivative,True,1.2e-06,native,current,25,6,8.322146699996665,
cv_flux_mg,M1,0.1,64,True,552,5.226449275362318,3.02,2.2064492753623184,3.4130434782608696,3.57,-0.15695652173913022,1.5313163481953291,q_derivative,True,1.2e-06,native,cv_flux,6,5,12.060411800048314,
cv_flux_mg,M1,0.5,64,True,156,7.019230769230769,3.96,3.059230769230769,4.134615384615385,3.63,0.5046153846153851,1.697674418604651,q_derivative,True,1.2e-06,native,cv_flux,12,5,4.3691279999911785,
cv_flux_mg,M3,0.1,64,True,131,3.9160305343511452,3.97,-0.053969465648854964,2.7404580152671754,3.49,-0.7495419847328249,1.4289693593314763,q_derivative,True,1.2e-06,native,cv_flux,6,3,2.4816854000091553,
cv_flux_mg,M3,0.5,64,True,195,11.774358974358975,6.61,5.164358974358975,3.8974358974358974,3.97,-0.07256410256410284,3.0210526315789474,q_derivative,True,1.2e-06,native,cv_flux,24,6,8.50018039997667,
