variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,max_linear,max_nonlinear,elapsed_sec,failure_reason
tol_1e-2,M1,0.1,32,True,428,4.787383177570093,2.57,2.217383177570093,4.7827102803738315,3.42,1.3627102803738316,1.0009770395701025,5,5,12.524027100065723,
tol_1e-2,M1,0.5,32,True,147,5.612244897959184,3.35,2.262244897959184,4.238095238095238,3.42,0.8180952380952382,1.3242375601926164,9,5,5.5418493000324816,
tol_1e-2,M2,0.1,32,True,7006,8.298458464173565,7.72,0.5784584641735657,4.4618898087353696,4.53,-0.06811019126463069,1.8598528470889315,18,6,337.6368535000365,
tol_1e-2,M2,0.5,32,True,1177,13.61002548853016,14.3,-0.6899745114698401,6.104502973661853,5.29,0.8145029736618525,2.2295059151009045,35,8,137.52273389999755,
paper_eps,M1,0.1,32,True,428,100.49065420560747,2.57,97.92065420560748,4.7266355140186915,3.42,1.3066355140186916,21.26050420168067,202,5,177.82153529999778,
paper_eps,M1,0.5,32,True,147,92.78911564625851,3.35,89.43911564625851,4.095238095238095,3.42,0.675238095238095,22.6578073089701,202,5,25.07599789998494,
