variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,picard_mass_mode,use_m3_limiter,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M3,0.1,32,True,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,q_derivative,True,5,3,0.9995209999615327,
base,M3,0.5,32,True,138,6.4855072463768115,4.71,1.7755072463768116,3.050724637681159,3.66,-0.6092753623188409,2.125890736342043,q_derivative,True,18,6,2.3235811999766156,
m3_no_limiter,M3,0.1,32,True,379,6.754617414248021,2.88,3.8746174142480214,3.5804749340369395,3.32,0.26047493403693966,1.8865143699336773,q_derivative,False,8,5,4.9851214999798685,
m3_no_limiter,M3,0.5,32,True,199,10.07035175879397,4.71,5.36035175879397,4.261306532663316,3.66,0.6013065326633162,2.3632075471698113,q_derivative,False,15,5,2.990893599926494,
