variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,picard_mass_mode,use_m3_limiter,nonlinear_tol,linear_solver_backend,mg_flux_coarsening,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M1,0.1,32,True,428,4.864485981308412,2.57,2.2944859813084117,3.2686915887850465,3.42,-0.15130841121495342,1.488205861329521,q_derivative,True,1.2e-06,native,current,6,4,5.188400499988347,
base,M1,0.5,32,True,147,5.884353741496598,3.35,2.534353741496598,3.8639455782312924,3.42,0.44394557823129244,1.522887323943662,q_derivative,True,1.2e-06,native,current,8,5,1.9318942000390962,
base,M2,0.1,32,True,7006,8.24307736226092,7.72,0.5230773622609197,4.118469882957465,4.53,-0.4115301170425356,2.0014902613155887,q_derivative,True,1.2e-06,native,current,19,5,93.43821310007479,
base,M2,0.5,32,True,1177,14.860662701784197,14.3,0.5606627017841959,5.305862361937129,5.29,0.015862361937128533,2.80080064051241,q_derivative,True,1.2e-06,native,current,36,8,26.41607259993907,
base,M3,0.1,32,True,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,q_derivative,True,1.2e-06,native,current,5,3,0.7242176999570802,
base,M3,0.5,32,True,138,6.4855072463768115,4.71,1.7755072463768116,3.050724637681159,3.66,-0.6092753623188409,2.125890736342043,q_derivative,True,1.2e-06,native,current,18,6,1.7987396999960765,
scipy_gmres,M1,0.1,32,True,428,4.864485981308412,2.57,2.2944859813084117,3.2686915887850465,3.42,-0.15130841121495342,1.488205861329521,q_derivative,True,1.2e-06,scipy,current,6,4,6.013388099963777,
scipy_gmres,M1,0.5,32,True,147,5.884353741496598,3.35,2.534353741496598,3.8639455782312924,3.42,0.44394557823129244,1.522887323943662,q_derivative,True,1.2e-06,scipy,current,8,5,2.1945018999977037,
scipy_gmres,M2,0.1,32,True,7006,8.24307736226092,7.72,0.5230773622609197,4.118469882957465,4.53,-0.4115301170425356,2.0014902613155887,q_derivative,True,1.2e-06,scipy,current,19,5,133.65756700001657,
scipy_gmres,M2,0.5,32,True,1177,14.860662701784197,14.3,0.5606627017841959,5.305862361937129,5.29,0.015862361937128533,2.80080064051241,q_derivative,True,1.2e-06,scipy,current,36,8,32.54227890004404,
scipy_gmres,M3,0.1,32,True,103,2.9805825242718447,2.88,0.10058252427184478,2.3883495145631066,3.32,-0.9316504854368932,1.2479674796747968,q_derivative,True,1.2e-06,scipy,current,5,3,1.0770525999832898,
scipy_gmres,M3,0.5,32,True,138,6.4855072463768115,4.71,1.7755072463768116,3.050724637681159,3.66,-0.6092753623188409,2.125890736342043,q_derivative,True,1.2e-06,scipy,current,18,6,2.2656248999992386,
