variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,picard_mass_mode,use_m3_limiter,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M3,0.1,64,True,131,3.9160305343511452,3.97,-0.053969465648854964,2.7404580152671754,3.49,-0.7495419847328249,1.4289693593314763,q_derivative,True,6,3,2.3401643000543118,
base,M3,0.5,64,True,195,11.8,6.61,5.19,3.9076923076923076,3.97,-0.06230769230769262,3.0196850393700787,q_derivative,True,25,6,7.867381099960767,
m3_no_limiter,M3,0.1,64,True,640,7.5859375,3.97,3.6159375,3.871875,3.49,0.38187499999999996,1.9592413236481032,q_derivative,False,8,5,16.73926229996141,
m3_no_limiter,M3,0.5,64,True,278,11.733812949640289,6.61,5.123812949640288,4.568345323741007,3.97,0.598345323741007,2.568503937007874,q_derivative,False,15,5,10.702025300008245,
