variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,picard_mass_mode,use_m3_limiter,nonlinear_tol,gmres_residual_mode,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M1,0.1,64,True,552,5.2898550724637685,3.02,2.2698550724637685,3.476449275362319,3.57,-0.093550724637681,1.5216258467952057,q_derivative,True,1.2e-06,true,6,5,15.957777799922042,
base,M1,0.5,64,True,156,6.634615384615385,3.96,2.674615384615385,4.038461538461538,3.63,0.40846153846153843,1.6428571428571428,q_derivative,True,1.2e-06,true,10,5,4.211716099991463,
base,M3,0.1,64,True,131,3.9160305343511452,3.97,-0.053969465648854964,2.7404580152671754,3.49,-0.7495419847328249,1.4289693593314763,q_derivative,True,1.2e-06,true,6,3,2.545958900009282,
base,M3,0.5,64,True,195,11.8,6.61,5.19,3.9076923076923076,3.97,-0.06230769230769262,3.0196850393700787,q_derivative,True,1.2e-06,true,25,6,8.325694700004533,
arnoldi_res,M1,0.1,64,True,552,5.2898550724637685,3.02,2.2698550724637685,3.476449275362319,3.57,-0.093550724637681,1.5216258467952057,q_derivative,True,1.2e-06,arnoldi,6,5,11.424032500013709,
arnoldi_res,M1,0.5,64,True,156,6.634615384615385,3.96,2.674615384615385,4.038461538461538,3.63,0.40846153846153843,1.6428571428571428,q_derivative,True,1.2e-06,arnoldi,10,5,3.891795799951069,
arnoldi_res,M3,0.1,64,True,131,3.9160305343511452,3.97,-0.053969465648854964,2.7404580152671754,3.49,-0.7495419847328249,1.4289693593314763,q_derivative,True,1.2e-06,arnoldi,6,3,2.3091029999777675,
arnoldi_res,M3,0.5,64,True,195,11.8,6.61,5.19,3.9076923076923076,3.97,-0.06230769230769262,3.0196850393700787,q_derivative,True,1.2e-06,arnoldi,25,6,7.3026441999245435,
