variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,picard_mass_mode,use_m3_limiter,nonlinear_tol,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M1,0.1,64,True,552,5.2898550724637685,3.02,2.2698550724637685,3.476449275362319,3.57,-0.093550724637681,1.5216258467952057,q_derivative,True,1.2e-06,6,5,14.405409700004384,
base,M1,0.5,64,True,156,6.634615384615385,3.96,2.674615384615385,4.038461538461538,3.63,0.40846153846153843,1.6428571428571428,q_derivative,True,1.2e-06,10,5,3.866140600061044,
jacobi_5_5,M1,0.1,64,True,552,5.26268115942029,3.02,2.24268115942029,4.931159420289855,3.57,1.3611594202898556,1.0672299779573842,q_derivative,True,1.2e-06,6,5,15.685828000074252,
jacobi_5_5,M1,0.5,64,True,156,6.051282051282051,3.96,2.091282051282051,4.384615384615385,3.63,0.7546153846153851,1.3801169590643274,q_derivative,True,1.2e-06,9,6,4.893673000042327,
sgs_3_3,M1,0.1,64,True,552,5.26268115942029,3.02,2.24268115942029,4.931159420289855,3.57,1.3611594202898556,1.0672299779573842,q_derivative,True,1.2e-06,6,5,347.9031013000058,
sgs_3_3,M1,0.5,64,True,156,6.0576923076923075,3.96,2.0976923076923075,4.391025641025641,3.63,0.7610256410256415,1.3795620437956204,q_derivative,True,1.2e-06,9,6,113.52738860005047,
