variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,max_linear,max_nonlinear,elapsed_sec,failure_reason
tol_1e-2,M3,0.1,32,True,103,3.0679611650485437,2.88,0.18796116504854377,2.621359223300971,3.32,-0.6986407766990288,1.1703703703703703,6,4,1.186157300020568,
tol_1e-2,M3,0.5,32,True,138,6.268115942028985,4.71,1.5581159420289854,3.3840579710144927,3.66,-0.27594202898550746,1.8522483940042827,18,6,3.026889899978414,
jacobi_5_5,M3,0.1,32,True,103,2.9029126213592233,2.88,0.02291262135922345,2.4563106796116503,3.32,-0.8636893203883496,1.1818181818181819,6,4,2.118422600091435,
jacobi_5_5,M3,0.5,32,True,138,5.942028985507246,4.71,1.2320289855072462,3.260869565217391,3.66,-0.399130434782609,1.8222222222222222,16,6,3.679383000009693,
sgs_3_3,M3,0.1,32,True,103,2.9029126213592233,2.88,0.02291262135922345,2.4563106796116503,3.32,-0.8636893203883496,1.1818181818181819,6,4,8.865181400091387,
sgs_3_3,M3,0.5,32,True,138,5.949275362318841,4.71,1.2392753623188408,3.260869565217391,3.66,-0.399130434782609,1.8244444444444445,17,6,25.059875900042243,
