variant,model,eta,grid,converged,steps,avg_linear,paper_linear,linear_delta,avg_nonlinear,paper_nonlinear,nonlinear_delta,avg_linear_per_newton_solve,picard_mass_mode,use_m3_limiter,nonlinear_tol,mg_coarsening_mode,max_linear,max_nonlinear,elapsed_sec,failure_reason
base,M1,0.1,64,True,552,5.2898550724637685,3.02,2.2698550724637685,3.476449275362319,3.57,-0.093550724637681,1.5216258467952057,q_derivative,True,1.2e-06,face_transmissibility,6,5,48.24243970005773,
base,M1,0.5,64,True,156,6.634615384615385,3.96,2.674615384615385,4.038461538461538,3.63,0.40846153846153843,1.6428571428571428,q_derivative,True,1.2e-06,face_transmissibility,10,5,8.064812600030564,
base,M3,0.1,64,True,131,3.9160305343511452,3.97,-0.053969465648854964,2.7404580152671754,3.49,-0.7495419847328249,1.4289693593314763,q_derivative,True,1.2e-06,face_transmissibility,6,3,3.123415599926375,
base,M3,0.5,64,True,195,11.8,6.61,5.19,3.9076923076923076,3.97,-0.06230769230769262,3.0196850393700787,q_derivative,True,1.2e-06,face_transmissibility,25,6,8.327495300094597,
cell_harmonic,M1,0.1,64,True,552,5.288043478260869,3.02,2.268043478260869,3.4746376811594204,3.57,-0.09536231884057944,1.5218978102189782,q_derivative,True,1.2e-06,cell_harmonic,6,5,11.961119799991138,
cell_harmonic,M1,0.5,64,True,156,6.647435897435898,3.96,2.687435897435898,4.044871794871795,3.63,0.4148717948717948,1.6434231378763866,q_derivative,True,1.2e-06,cell_harmonic,10,5,4.026871899957769,
cell_harmonic,M3,0.1,64,True,131,3.9160305343511452,3.97,-0.053969465648854964,2.7404580152671754,3.49,-0.7495419847328249,1.4289693593314763,q_derivative,True,1.2e-06,cell_harmonic,6,3,2.4023083000211045,
cell_harmonic,M3,0.5,64,True,195,11.810256410256411,6.61,5.200256410256411,3.8974358974358974,3.97,-0.07256410256410284,3.030263157894737,q_derivative,True,1.2e-06,cell_harmonic,24,6,8.135903199901804,
