model,eta_target,grid,variant,step,time,dt,eta_measured,linear_iters,nonlinear_iters,final_residual_norm,rejections_before_accept
M2,0.1,32,aligned_guard_1p1,1,1e-06,1e-06,0.03685339558174637,7,7,8.110643887747205e-07,0
M2,0.1,32,aligned_guard_1p1,2,2.1000000000000002e-06,1.1e-06,0.04334184836390764,7,7,1.9905357611625078e-06,0
M2,0.1,32,aligned_guard_1p1,3,3.3100000000000005e-06,1.21e-06,0.051310351575448505,8,8,1.560703379587074e-07,0
M2,0.1,32,aligned_guard_1p1,4,4.641000000000001e-06,1.3310000000000003e-06,0.06117370158420792,8,8,4.5853766516647546e-07,0
M2,0.1,32,aligned_guard_1p1,5,6.105100000000001e-06,1.4641000000000003e-06,0.07347495239246539,8,8,1.3886867888990904e-06,0
M2,0.1,32,aligned_guard_1p1,6,7.715610000000002e-06,1.6105100000000006e-06,0.08892023108921182,9,9,1.9973306610923364e-07,0
M2,0.1,32,aligned_guard_1p1,7,9.487171000000002e-06,1.7715610000000007e-06,0.10841246827712658,9,9,7.387128193640981e-07,0
M2,0.1,32,aligned_guard_1p1,8,1.0304217705122282e-05,8.170467051222806e-07,0.05598062246081761,7,7,1.6183271165443518e-06,1
M2,0.1,32,aligned_guard_1p1,9,1.1202969080756792e-05,8.987513756345088e-07,0.06484234628431831,8,8,1.0490890415106605e-07,0
M2,0.1,32,aligned_guard_1p1,10,1.2191595593954751e-05,9.886265131979597e-07,0.07540648096338427,8,8,2.788047881724542e-07,0
M2,0.1,32,aligned_guard_1p1,11,1.3279084758472506e-05,1.0874891645177557e-06,0.08803554879687356,8,8,7.481960373110028e-07,0
M2,0.1,32,aligned_guard_1p1,12,1.4475322839442038e-05,1.1962380809695314e-06,0.1031557289884276,9,9,7.891631941331596e-08,0
M2,0.1,32,aligned_guard_1p1,13,1.563496573344333e-05,1.159642894001292e-06,0.10717122817784865,8,8,1.9588789427554205e-06,0
M2,0.1,32,aligned_guard_1p1,14,1.671701257914793e-05,1.0820468457046011e-06,0.10680467521391612,8,8,1.3514183839928524e-06,0
M2,0.1,32,aligned_guard_1p1,15,1.7730120707174536e-05,1.0131081280266052e-06,0.10611165912001418,8,8,9.201710989408468e-07,0
M2,0.1,32,aligned_guard_1p1,16,1.8684877362973088e-05,9.547566557985508e-07,0.10547334832547173,8,8,6.353794158695736e-07,0
M2,0.1,32,aligned_guard_1p1,17,1.9590088651849917e-05,9.052112888768299e-07,0.10490772244211456,8,8,4.440860744271217e-07,0
M2,0.1,32,aligned_guard_1p1,18,2.045295295564443e-05,8.628643037945111e-07,0.10440294499373227,8,8,3.1300610148987093e-07,0
M2,0.1,32,aligned_guard_1p1,19,2.1279428017096298e-05,8.264750614518703e-07,0.10394788602718201,8,8,2.214943214534231e-07,0
M2,0.1,32,aligned_guard_1p1,20,2.2074513990500077e-05,7.950859734037784e-07,0.10353390494805942,8,8,1.570094895757098e-07,0
M2,0.1,32,aligned_guard_1p1,21,2.2842461431295103e-05,7.679474407950274e-07,0.10315433623938869,8,8,1.1178110243730287e-07,0
M2,0.1,32,aligned_guard_1p1,22,2.358692595774299e-05,7.444645264478882e-07,0.10280398517638982,8,8,7.970515728774441e-08,0
M2,0.1,32,aligned_guard_1p1,23,2.4311085167301398e-05,7.241592095584088e-07,0.10247876083553706,8,8,5.621888637605069e-08,0
M2,0.1,32,aligned_guard_1p1,24,2.5017728381616386e-05,7.066432143149888e-07,0.10217541126831439,7,7,1.8809742731889485e-06,0
M2,0.1,32,aligned_guard_1p1,25,2.5709326492691594e-05,6.915981110752092e-07,0.10189132905631262,7,7,1.3926225155301372e-06,0
