model,eta_target,grid,variant,step,time,dt,eta_measured,linear_iters,nonlinear_iters,final_residual_norm,rejections_before_accept
M1,0.1,64,aligned_guard_1p1,1,1e-06,1e-06,0.0317729788711913,6,6,2.1400153354225402e-08,0
M1,0.1,64,aligned_guard_1p1,2,2.1000000000000002e-06,1.1e-06,0.03419282136640598,6,6,2.6129666334396414e-08,0
M1,0.1,64,aligned_guard_1p1,3,3.3100000000000005e-06,1.21e-06,0.03671927598515907,6,6,3.337779208569921e-08,0
M1,0.1,64,aligned_guard_1p1,4,4.641000000000001e-06,1.3310000000000003e-06,0.03934428335460413,6,6,4.206644516068192e-08,0
M1,0.1,64,aligned_guard_1p1,5,6.105100000000001e-06,1.4641000000000003e-06,0.042057818174382304,6,6,5.1581321257506305e-08,0
M1,0.1,64,aligned_guard_1p1,6,7.715610000000002e-06,1.6105100000000006e-06,0.04484795419275653,6,6,6.252246698910582e-08,0
M1,0.1,64,aligned_guard_1p1,7,9.487171000000002e-06,1.7715610000000007e-06,0.04770100563314914,6,6,7.380193410565855e-08,0
M1,0.1,64,aligned_guard_1p1,8,1.1435888100000002e-05,1.948717100000001e-06,0.050601745670060747,6,6,8.734669670531098e-08,0
M1,0.1,64,aligned_guard_1p1,9,1.3579476910000003e-05,2.1435888100000012e-06,0.05353369719907422,6,6,1.018182656937509e-07,0
M1,0.1,64,aligned_guard_1p1,10,1.5937424601000003e-05,2.3579476910000015e-06,0.056479485635228394,6,6,1.1737065007939216e-07,0
M1,0.1,64,aligned_guard_1p1,11,1.8531167061100006e-05,2.5937424601000017e-06,0.05942123841353428,6,6,1.3288242155031517e-07,0
M1,0.1,64,aligned_guard_1p1,12,2.1384283767210007e-05,2.853116706110002e-06,0.06234101186197255,6,6,1.492302539549691e-07,0
M1,0.1,64,aligned_guard_1p1,13,2.452271214393101e-05,3.1384283767210024e-06,0.06522122367984266,6,6,1.654802356464989e-07,0
M1,0.1,64,aligned_guard_1p1,14,2.7974983358324114e-05,3.452271214393103e-06,0.06804506870403029,6,6,1.818563262325564e-07,0
M1,0.1,64,aligned_guard_1p1,15,3.177248169415653e-05,3.7974983358324136e-06,0.07079689705746393,6,6,1.982992099291321e-07,0
M1,0.1,64,aligned_guard_1p1,16,3.5949729863572185e-05,4.177248169415655e-06,0.07346253696226519,6,6,2.1361556982185171e-07,0
M1,0.1,64,aligned_guard_1p1,17,4.0544702849929404e-05,4.594972986357221e-06,0.0760295490534229,6,6,2.2770766725113193e-07,0
M1,0.1,64,aligned_guard_1p1,18,4.559917313492235e-05,5.0544702849929435e-06,0.07848740438392723,6,6,2.4183336139079597e-07,0
M1,0.1,64,aligned_guard_1p1,19,5.115909044841459e-05,5.559917313492238e-06,0.08082758385031083,6,6,2.5431519689231745e-07,0
M1,0.1,64,aligned_guard_1p1,20,5.727499949325605e-05,6.115909044841462e-06,0.08304360191106229,6,6,2.651827629483878e-07,0
M1,0.1,64,aligned_guard_1p1,21,6.400249944258165e-05,6.727499949325609e-06,0.08513096176175423,6,6,2.74165461262821e-07,0
M1,0.1,64,aligned_guard_1p1,22,7.140274938683982e-05,7.40024994425817e-06,0.08708705227908116,6,6,2.8154499284765114e-07,0
M1,0.1,64,aligned_guard_1p1,23,7.954302432552381e-05,8.140274938683989e-06,0.08891099893928082,6,6,2.873151808980229e-07,0
M1,0.1,64,aligned_guard_1p1,24,8.84973267580762e-05,8.954302432552388e-06,0.09060348160284101,6,6,2.9134816764854146e-07,0
M1,0.1,64,aligned_guard_1p1,25,9.834705943388383e-05,9.849732675807628e-06,0.09216653170626748,6,6,2.9426311997361405e-07,0
M1,0.1,64,aligned_guard_1p1,26,0.00010903394597877247,1.0686886544888647e-05,0.09243412194848172,6,6,2.7329852746008203e-07,0
M1,0.1,64,aligned_guard_1p1,27,0.0001205955709713753,1.1561624992602837e-05,0.09240722159517598,6,6,2.5101658375827684e-07,0
M1,0.1,64,aligned_guard_1p1,28,0.00013310717427793593,1.2511603306560621e-05,0.09237949193802183,6,6,2.309373569754802e-07,0
M1,0.1,64,aligned_guard_1p1,29,0.00014665087650456732,1.3543702226631382e-05,0.0923532655920279,6,6,2.1360511128828125e-07,0
M1,0.1,64,aligned_guard_1p1,30,0.00016131598026652947,1.4665103761962151e-05,0.09232833496264302,6,6,1.9896450793003616e-07,0
M1,0.1,64,aligned_guard_1p1,31,0.00017719962396907843,1.5883643702548956e-05,0.09230450004353696,6,6,1.8592531286466318e-07,0
M1,0.1,64,aligned_guard_1p1,32,0.0001944074997444276,1.7207875775349166e-05,0.09228158513452689,6,6,1.7382609444561155e-07,0
M1,0.1,64,aligned_guard_1p1,33,0.00021305463909543002,1.8647139351002423e-05,0.09225943460918984,6,6,1.631254181572964e-07,0
M1,0.1,64,aligned_guard_1p1,34,0.00023326627320091912,2.0211634105489095e-05,0.0922379092674348,6,6,1.54429070598655e-07,0
M1,0.1,64,aligned_guard_1p1,35,0.00025517877562645375,2.1912502425534644e-05,0.09221688328042828,6,6,1.4692346126058553e-07,0
M1,0.1,64,aligned_guard_1p1,36,0.00027894069605364873,2.3761920427194987e-05,0.09219624159176218,6,6,1.4035752272673696e-07,0
M1,0.1,64,aligned_guard_1p1,37,0.0003047138946319714,2.5773198578322675e-05,0.09217587766620068,6,6,1.357610655605804e-07,0
M1,0.1,64,aligned_guard_1p1,38,0.0003326747876886732,2.7960893056701825e-05,0.09215569149824403,6,6,1.3197241402625459e-07,0
M1,0.1,64,aligned_guard_1p1,39,0.00036301571682947903,3.0340929140805813e-05,0.09213558780769843,6,6,1.2934153495083887e-07,0
M1,0.1,64,aligned_guard_1p1,40,0.0003959464549543957,3.293073812491666e-05,0.09211547435994356,6,6,1.2951089492093714e-07,0
M1,0.1,64,aligned_guard_1p1,41,0.0004316958644360632,3.5749409481667506e-05,0.09209526035573067,6,6,1.30250120444553e-07,0
M1,0.1,64,aligned_guard_1p1,42,0.00047051372470767813,3.881786027161493e-05,0.09207485484002151,6,6,1.3318534441658662e-07,0
M1,0.1,64,aligned_guard_1p1,43,0.0005126727488397936,4.215902413211544e-05,0.09205416508235964,6,6,1.369562352262876e-07,0
M1,0.1,64,aligned_guard_1p1,44,0.0005584708114200108,4.5798062580217115e-05,0.09203309488326766,6,6,1.4274831932899016e-07,0
M1,0.1,64,aligned_guard_1p1,45,0.0006082334132735137,4.976260185350299e-05,0.09201154276305581,6,6,1.4941891276461349e-07,0
M1,0.1,64,aligned_guard_1p1,46,0.000662316412383364,5.408299910985029e-05,0.09198939999203451,6,6,1.57627460611316e-07,0
M1,0.1,64,aligned_guard_1p1,47,0.0007211090549210188,5.8792642537654785e-05,0.09196654842549752,6,6,1.6710383988958432e-07,0
M1,0.1,64,aligned_guard_1p1,48,0.0007850373457443751,6.392829082335623e-05,0.09194285811380973,6,6,1.777822642128665e-07,0
M1,0.1,64,aligned_guard_1p1,49,0.0008545678042648443,6.95304585204691e-05,0.09191818466814819,6,6,1.8908512629457012e-07,0
