model,eta_target,grid,variant,trial,accepted_step_candidate,t_start,dt_try,t_trial,eta_measured,linear_iters,nonlinear_iters,final_residual_norm,solver_converged,violates_guard,accepted
M1,0.1,64,aligned_guard_1p1,1,1,0.0,1e-06,1e-06,0.0317729788711913,6,6,2.1400153354225402e-08,True,False,True
M1,0.1,64,aligned_guard_1p1,2,2,1e-06,1.1e-06,2.1000000000000002e-06,0.03419282136640598,6,6,2.6129666334396414e-08,True,False,True
M1,0.1,64,aligned_guard_1p1,3,3,2.1000000000000002e-06,1.21e-06,3.3100000000000005e-06,0.03671927598515907,6,6,3.337779208569921e-08,True,False,True
M1,0.1,64,aligned_guard_1p1,4,4,3.3100000000000005e-06,1.3310000000000003e-06,4.641000000000001e-06,0.03934428335460413,6,6,4.206644516068192e-08,True,False,True
M1,0.1,64,aligned_guard_1p1,5,5,4.641000000000001e-06,1.4641000000000003e-06,6.105100000000001e-06,0.042057818174382304,6,6,5.1581321257506305e-08,True,False,True
M1,0.1,64,aligned_guard_1p1,6,6,6.105100000000001e-06,1.6105100000000006e-06,7.715610000000002e-06,0.04484795419275653,6,6,6.252246698910582e-08,True,False,True
M1,0.1,64,aligned_guard_1p1,7,7,7.715610000000002e-06,1.7715610000000007e-06,9.487171000000002e-06,0.04770100563314914,6,6,7.380193410565855e-08,True,False,True
M1,0.1,64,aligned_guard_1p1,8,8,9.487171000000002e-06,1.948717100000001e-06,1.1435888100000002e-05,0.050601745670060747,6,6,8.734669670531098e-08,True,False,True
M1,0.1,64,aligned_guard_1p1,9,9,1.1435888100000002e-05,2.1435888100000012e-06,1.3579476910000003e-05,0.05353369719907422,6,6,1.018182656937509e-07,True,False,True
M1,0.1,64,aligned_guard_1p1,10,10,1.3579476910000003e-05,2.3579476910000015e-06,1.5937424601000003e-05,0.056479485635228394,6,6,1.1737065007939216e-07,True,False,True
M1,0.1,64,aligned_guard_1p1,11,11,1.5937424601000003e-05,2.5937424601000017e-06,1.8531167061100006e-05,0.05942123841353428,6,6,1.3288242155031517e-07,True,False,True
M1,0.1,64,aligned_guard_1p1,12,12,1.8531167061100006e-05,2.853116706110002e-06,2.1384283767210007e-05,0.06234101186197255,6,6,1.492302539549691e-07,True,False,True
M1,0.1,64,aligned_guard_1p1,13,13,2.1384283767210007e-05,3.1384283767210024e-06,2.452271214393101e-05,0.06522122367984266,6,6,1.654802356464989e-07,True,False,True
M1,0.1,64,aligned_guard_1p1,14,14,2.452271214393101e-05,3.452271214393103e-06,2.7974983358324114e-05,0.06804506870403029,6,6,1.818563262325564e-07,True,False,True
M1,0.1,64,aligned_guard_1p1,15,15,2.7974983358324114e-05,3.7974983358324136e-06,3.177248169415653e-05,0.07079689705746393,6,6,1.982992099291321e-07,True,False,True
M1,0.1,64,aligned_guard_1p1,16,16,3.177248169415653e-05,4.177248169415655e-06,3.5949729863572185e-05,0.07346253696226519,6,6,2.1361556982185171e-07,True,False,True
M1,0.1,64,aligned_guard_1p1,17,17,3.5949729863572185e-05,4.594972986357221e-06,4.0544702849929404e-05,0.0760295490534229,6,6,2.2770766725113193e-07,True,False,True
M1,0.1,64,aligned_guard_1p1,18,18,4.0544702849929404e-05,5.0544702849929435e-06,4.559917313492235e-05,0.07848740438392723,6,6,2.4183336139079597e-07,True,False,True
M1,0.1,64,aligned_guard_1p1,19,19,4.559917313492235e-05,5.559917313492238e-06,5.115909044841459e-05,0.08082758385031083,6,6,2.5431519689231745e-07,True,False,True
M1,0.1,64,aligned_guard_1p1,20,20,5.115909044841459e-05,6.115909044841462e-06,5.727499949325605e-05,0.08304360191106229,6,6,2.651827629483878e-07,True,False,True
M1,0.1,64,aligned_guard_1p1,21,21,5.727499949325605e-05,6.727499949325609e-06,6.400249944258165e-05,0.08513096176175423,6,6,2.74165461262821e-07,True,False,True
M1,0.1,64,aligned_guard_1p1,22,22,6.400249944258165e-05,7.40024994425817e-06,7.140274938683982e-05,0.08708705227908116,6,6,2.8154499284765114e-07,True,False,True
M1,0.1,64,aligned_guard_1p1,23,23,7.140274938683982e-05,8.140274938683989e-06,7.954302432552381e-05,0.08891099893928082,6,6,2.873151808980229e-07,True,False,True
