model,eta_target,grid,variant,step,time,dt,eta_measured,linear_iters,nonlinear_iters,final_residual_norm,rejections_before_accept
M2,0.5,64,aligned_guard_1p1,1,1e-06,1e-06,0.135967174602228,11,11,7.232038145520478e-07,0
M2,0.5,64,aligned_guard_1p1,2,2.1000000000000002e-06,1.1e-06,0.18257007588265384,12,12,3.6486173090685044e-07,0
M2,0.5,64,aligned_guard_1p1,3,3.3100000000000005e-06,1.21e-06,0.24408907928861748,12,12,1.934042508499024e-06,0
M2,0.5,64,aligned_guard_1p1,4,4.641000000000001e-06,1.3310000000000003e-06,0.31929557308532025,13,13,7.504430694912755e-07,0
M2,0.5,64,aligned_guard_1p1,5,6.105100000000001e-06,1.4641000000000003e-06,0.39967782572769733,13,13,1.1279431279273496e-06,0
M2,0.5,64,aligned_guard_1p1,6,7.715610000000002e-06,1.6105100000000006e-06,0.46943563117148396,13,13,3.7546927701471925e-07,0
M2,0.5,64,aligned_guard_1p1,7,9.430978298717493e-06,1.7153682987174914e-06,0.5027953150308279,12,12,1.8113782901603553e-07,0
M2,0.5,64,aligned_guard_1p1,8,1.1136809923871276e-05,1.7058316251537836e-06,0.4861974115359639,10,10,5.460008809359381e-07,0
M2,0.5,64,aligned_guard_1p1,9,1.2891068157954453e-05,1.7542582340831771e-06,0.46557440717953197,9,9,2.83641297945013e-07,0
M2,0.5,64,aligned_guard_1p1,10,1.477504009351524e-05,1.8839719355607865e-06,0.45073546029061584,8,8,6.888537096099458e-07,0
M2,0.5,64,aligned_guard_1p1,11,1.6847409222632106e-05,2.072369129116865e-06,0.43752832186593926,8,8,1.6729319981198178e-06,0
M2,0.5,64,aligned_guard_1p1,12,1.9127015264660658e-05,2.2796060420285516e-06,0.4189596141167478,9,9,2.8365753991481205e-07,0
M2,0.5,64,aligned_guard_1p1,13,2.1634581910892065e-05,2.507566646231407e-06,0.3947855894365822,10,9,9.356846705335178e-07,0
M2,0.5,64,aligned_guard_1p1,14,2.4392905221746614e-05,2.7583233108545482e-06,0.36320720546111973,20,10,6.995921085261601e-07,0
M2,0.5,64,aligned_guard_1p1,15,2.7427060863686615e-05,3.0341556419400033e-06,0.3205446433543576,25,12,6.097816424313557e-07,0
M2,0.5,64,aligned_guard_1p1,16,3.076463206982062e-05,3.337571206134004e-06,0.3123955601001383,48,16,1.868571223168864e-06,0
M2,0.5,64,aligned_guard_1p1,17,3.2600296233194326e-05,1.8356641633737022e-06,0.30192449849663816,44,15,1.5694132002444279e-06,1
M2,0.5,64,aligned_guard_1p1,18,3.46195268129054e-05,2.0192305797110725e-06,0.46574521101274363,60,20,1.3065795620970857e-06,0
M2,0.5,64,aligned_guard_1p1,19,3.570339763538812e-05,1.083870822482715e-06,0.3855547988180237,34,17,8.078597925322596e-07,1
M2,0.5,64,aligned_guard_1p1,20,3.689565554011911e-05,1.1922579047309864e-06,0.5101169262083092,42,21,6.379456908213556e-07,0
M2,0.5,64,aligned_guard_1p1,21,3.747996172732653e-05,5.843061872074213e-07,0.346641914981557,30,15,1.792740625420396e-06,1
M2,0.5,64,aligned_guard_1p1,22,3.8122698533254696e-05,6.427368059281635e-07,0.40850286751638815,34,17,5.446615241550526e-07,0
M2,0.5,64,aligned_guard_1p1,23,3.8829709019775675e-05,7.070104865209799e-07,0.4602852313469225,34,17,1.647018295915832e-06,0
M2,0.5,64,aligned_guard_1p1,24,3.9597722458369036e-05,7.680134385933594e-07,0.46918205592107115,17,16,6.161235328805969e-07,0
M2,0.5,64,aligned_guard_1p1,25,4.04161824025432e-05,8.184599441741647e-07,0.4136736457754924,13,13,3.738018195719938e-07,0
