model,eta_target,grid,variant,trial,accepted_step_candidate,t_start,dt_try,t_trial,eta_measured,linear_iters,nonlinear_iters,final_residual_norm,solver_converged,violates_guard,accepted
M1,0.5,32,aligned_guard_1p1,1,1,0.0,1e-06,1e-06,0.009013284667245906,4,4,1.1321937296551507e-06,True,False,True
M1,0.5,32,aligned_guard_1p1,2,2,1e-06,1.1e-06,2.1000000000000002e-06,0.009857784898884841,4,4,1.5640154085053923e-06,True,False,True
M1,0.5,32,aligned_guard_1p1,3,3,2.1000000000000002e-06,1.21e-06,3.3100000000000005e-06,0.01077512796701578,5,5,5.087364889896329e-09,True,False,True
M1,0.5,32,aligned_guard_1p1,4,4,3.3100000000000005e-06,1.3310000000000003e-06,4.641000000000001e-06,0.011770296182470342,5,5,7.129142097502218e-09,True,False,True
M1,0.5,32,aligned_guard_1p1,5,5,4.641000000000001e-06,1.4641000000000003e-06,6.105100000000001e-06,0.012848340323119828,5,5,1.0655230220599632e-08,True,False,True
M1,0.5,32,aligned_guard_1p1,6,6,6.105100000000001e-06,1.6105100000000006e-06,7.715610000000002e-06,0.014014316179203885,5,5,1.554125976741851e-08,True,False,True
M1,0.5,32,aligned_guard_1p1,7,7,7.715610000000002e-06,1.7715610000000007e-06,9.487171000000002e-06,0.015273206776659696,5,5,2.2636237267852154e-08,True,False,True
M1,0.5,32,aligned_guard_1p1,8,8,9.487171000000002e-06,1.948717100000001e-06,1.1435888100000002e-05,0.016629829174298644,5,5,3.2429295061975254e-08,True,False,True
M1,0.5,32,aligned_guard_1p1,9,9,1.1435888100000002e-05,2.1435888100000012e-06,1.3579476910000003e-05,0.018088725143854175,5,5,4.6082277798043355e-08,True,False,True
M1,0.5,32,aligned_guard_1p1,10,10,1.3579476910000003e-05,2.3579476910000015e-06,1.5937424601000003e-05,0.019654035643632363,5,5,6.521390816720477e-08,True,False,True
M1,0.5,32,aligned_guard_1p1,11,11,1.5937424601000003e-05,2.5937424601000017e-06,1.8531167061100006e-05,0.021329359812077,5,5,9.061959664465996e-08,True,False,True
M1,0.5,32,aligned_guard_1p1,12,12,1.8531167061100006e-05,2.853116706110002e-06,2.1384283767210007e-05,0.023117600247222078,5,5,1.2529483720261852e-07,True,False,True
