variant,eta_target,grid,step,time,dt,eta_measured,linear_iters,nonlinear_iters,linear_per_nonlinear,residual
jacobi_5_5,0.5,32,1,1e-06,1e-06,1.59750233284723e-05,2,2,1.0,4.515169254137223e-08
jacobi_5_5,0.5,32,2,2.1000000000000002e-06,1.1e-06,1.757278725259354e-05,2,2,1.0,5.461351861920422e-08
jacobi_5_5,0.5,32,3,3.3100000000000005e-06,1.21e-06,1.9330382501225717e-05,2,2,1.0,6.599282758128408e-08
jacobi_5_5,0.5,32,4,4.641000000000001e-06,1.3310000000000003e-06,2.1263803741757902e-05,2,2,1.0,8.027129977188464e-08
jacobi_5_5,0.5,32,5,6.105100000000001e-06,1.4641000000000003e-06,2.3390647530700048e-05,2,2,1.0,9.68104637147419e-08
jacobi_5_5,0.5,32,6,7.715610000000002e-06,1.6105100000000006e-06,2.5730273010490045e-05,2,2,1.0,1.1744654544817703e-07
jacobi_5_5,0.5,32,7,9.487171000000002e-06,1.7715610000000007e-06,2.8303978784364603e-05,2,2,1.0,1.4208556238855417e-07
jacobi_5_5,0.5,32,8,1.1435888100000002e-05,1.948717100000001e-06,3.113519760605686e-05,2,2,1.0,1.7184547035280426e-07
jacobi_5_5,0.5,32,9,1.3579476910000003e-05,2.1435888100000012e-06,3.424971069621919e-05,2,2,1.0,2.0804541402155177e-07
jacobi_5_5,0.5,32,10,1.5937424601000003e-05,2.3579476910000015e-06,3.767588367899772e-05,2,2,1.0,2.5170511383760164e-07
jacobi_5_5,0.5,32,11,1.8531167061100006e-05,2.5937424601000017e-06,4.144492634093756e-05,2,2,1.0,3.0456170583230486e-07
jacobi_5_5,0.5,32,12,2.1384283767210007e-05,2.853116706110002e-06,4.559117864324101e-05,2,2,1.0,3.6851359744454204e-07
jacobi_5_5,0.5,32,13,2.452271214393101e-05,3.1384283767210024e-06,5.015242566895657e-05,2,2,1.0,4.461057496776414e-07
jacobi_5_5,0.5,32,14,2.7974983358324114e-05,3.452271214393103e-06,5.517024447217984e-05,2,2,1.0,5.396737610615575e-07
jacobi_5_5,0.5,32,15,3.177248169415653e-05,3.7974983358324136e-06,6.069038609988066e-05,2,2,1.0,6.530169486733154e-07
jacobi_5_5,0.5,32,16,3.5949729863572185e-05,4.177248169415655e-06,6.67631964110022e-05,2,2,1.0,7.903532905536048e-07
jacobi_5_5,0.5,32,17,4.0544702849929404e-05,4.594972986357221e-06,7.344407969460353e-05,2,2,1.0,9.564321880355525e-07
jacobi_5_5,0.5,32,18,4.559917313492235e-05,5.0544702849929435e-06,8.079400951701225e-05,2,2,1.0,1.1573552497159416e-06
jacobi_5_5,0.5,32,19,5.115909044841459e-05,5.559917313492238e-06,8.888009170503944e-05,2,2,1.0,1.4005978576090831e-06
jacobi_5_5,0.5,32,20,5.727499949325605e-05,6.115909044841462e-06,9.777618489761413e-05,2,2,1.0,1.6950135374292015e-06
jacobi_5_5,0.5,32,21,6.400249944258165e-05,6.727499949325609e-06,0.00010756358593056436,3,3,1.0,2.1196819981397237e-10
jacobi_5_5,0.5,32,22,7.140274938683982e-05,7.40024994425817e-06,0.00011833177970010788,3,3,1.0,2.601399868556315e-10
jacobi_5_5,0.5,32,23,7.954302432552381e-05,8.140274938683989e-06,0.00013017927762124776,3,3,1.0,4.0804378390599494e-10
jacobi_5_5,0.5,32,24,8.84973267580762e-05,8.954302432552388e-06,0.00014321453170877013,3,3,1.0,5.295741536533978e-10
jacobi_5_5,0.5,32,25,9.834705943388383e-05,9.849732675807628e-06,0.00015755694864689798,3,3,1.0,6.864265651229378e-10
