variant,eta_target,grid,step,time,dt,eta_measured,linear_iters,nonlinear_iters,linear_per_nonlinear,residual
current,0.5,128,1,1e-06,1e-06,6.397447909002111e-05,3,3,1.0,1.4878348527931444e-09
current,0.5,128,2,2.1000000000000002e-06,1.1e-06,7.037521716402158e-05,3,3,1.0,1.0177220966860276e-09
current,0.5,128,3,3.3100000000000005e-06,1.21e-06,7.741671976000556e-05,3,3,1.0,1.1814487810367247e-09
current,0.5,128,4,4.641000000000001e-06,1.3310000000000003e-06,8.516320830722475e-05,3,3,1.0,1.3161171481515044e-09
current,0.5,128,5,6.105100000000001e-06,1.4641000000000003e-06,9.368535679939112e-05,3,3,1.0,1.2591747588850344e-09
current,0.5,128,6,7.715610000000002e-06,1.6105100000000006e-06,0.00010306094343052562,3,3,1.0,1.914462453806376e-09
current,0.5,128,7,9.487171000000002e-06,1.7715610000000007e-06,0.00011337556873356936,3,3,1.0,2.4440363999212713e-09
current,0.5,128,8,1.1435888100000002e-05,1.948717100000001e-06,0.00012472344714872205,3,3,1.0,2.6434897812255378e-09
current,0.5,128,9,1.3579476910000003e-05,2.1435888100000012e-06,0.00013720827970459365,3,3,1.0,3.2904928730047415e-09
current,0.5,128,10,1.5937424601000003e-05,2.3579476910000015e-06,0.00015094421633241473,3,3,1.0,4.698087628962416e-09
current,0.5,128,11,1.8531167061100006e-05,2.5937424601000017e-06,0.00016605691727089602,3,3,1.0,6.194483483437443e-09
current,0.5,128,12,2.1384283767210007e-05,2.853116706110002e-06,0.00018268472406808515,3,3,1.0,8.36212053360217e-09
current,0.5,128,13,2.452271214393101e-05,3.1384283767210024e-06,0.00020097995186291632,3,3,1.0,1.0884560225375564e-08
current,0.5,128,14,2.7974983358324114e-05,3.452271214393103e-06,0.000221110315947189,3,3,1.0,1.5333304820356128e-08
current,0.5,128,15,3.177248169415653e-05,3.7974983358324136e-06,0.00024326050708978994,3,3,1.0,1.9941861889472077e-08
current,0.5,128,16,3.5949729863572185e-05,4.177248169415655e-06,0.0002676339317724702,3,3,1.0,2.702417646213636e-08
current,0.5,128,17,4.0544702849929404e-05,4.594972986357221e-06,0.00029445463536893583,3,3,1.0,3.594260534468281e-08
current,0.5,128,18,4.559917313492235e-05,5.0544702849929435e-06,0.00032396942841580323,3,3,1.0,4.8174504857247186e-08
current,0.5,128,19,5.115909044841459e-05,5.559917313492238e-06,0.00035645023852882665,3,3,1.0,6.430480122224841e-08
current,0.5,128,20,5.727499949325605e-05,6.115909044841462e-06,0.0003921967132346223,3,3,1.0,8.576610307997552e-08
current,0.5,128,21,6.400249944258165e-05,6.727499949325609e-06,0.00043153910207457735,3,3,1.0,1.145126523819597e-07
current,0.5,128,22,7.140274938683982e-05,7.40024994425817e-06,0.00047484144984662354,3,3,1.0,1.5273221689617604e-07
current,0.5,128,23,7.954302432552381e-05,8.140274938683989e-06,0.0005225051368494693,3,3,1.0,2.0368723734460487e-07
current,0.5,128,24,8.84973267580762e-05,8.954302432552388e-06,0.0005749728065531846,3,3,1.0,2.7139944139987525e-07
current,0.5,128,25,9.834705943388383e-05,9.849732675807628e-06,0.0006327327263382191,3,3,1.0,3.619776223167006e-07
current,0.5,128,26,0.00010918176537727222,1.0834705943388392e-05,0.000696323632916998,3,3,1.0,4.826235702298241e-07
current,0.5,128,27,0.00012109994191499945,1.1918176537727232e-05,0.0007663401209078959,3,3,1.0,6.434647500717764e-07
current,0.5,128,28,0.0001342099361064994,1.3109994191499957e-05,0.0008434386409079564,3,3,1.0,8.580220443386744e-07
current,0.5,128,29,0.00014863092971714937,1.4420993610649954e-05,0.0009283441824786275,3,3,1.0,1.144054969568612e-06
current,0.5,128,30,0.00016449402268886432,1.586309297171495e-05,0.00102185772791536,3,3,1.0,1.525518799607177e-06
current,0.5,128,31,0.00018194342495775077,1.7449402268886447e-05,0.0011248645762949763,4,4,1.0,2.252521564424374e-09
current,0.5,128,32,0.00020113776745352586,1.9194342495775094e-05,0.0012383436410897339,4,4,1.0,3.2831192081516737e-09
current,0.5,128,33,0.00022225154419887848,2.1113776745352607e-05,0.0013637126013075183,4,4,1.0,4.8687588592428935e-09
current,0.5,128,34,0.00024547669861876636,2.322515441988787e-05,0.0015020011077839816,4,4,1.0,7.157145273695835e-09
current,0.5,128,35,0.000271024368480643,2.554766986187666e-05,0.0016545199498368278,4,4,1.0,1.0517932282584536e-08
current,0.5,128,36,0.00029912680532870735,2.8102436848064327e-05,0.0018227760796365518,4,4,1.0,1.5428498942935408e-08
current,0.5,128,37,0.0003300394858615781,3.091268053287076e-05,0.002008444629493662,4,4,1.0,2.2676036596452056e-08
current,0.5,128,38,0.0003640434344477359,3.4003948586157844e-05,0.0022133893524197605,4,4,1.0,3.326359413353832e-08
current,0.5,128,39,0.00040144777789250956,3.7404343444773634e-05,0.00243968584950313,4,4,1.0,4.8909117018946465e-08
current,0.5,128,40,0.00044259255568176054,4.1144777789251e-05,0.002689649044601367,4,4,1.0,7.18821841512068e-08
current,0.5,128,41,0.00048785181124993667,4.52592555681761e-05,0.002965861021646567,4,4,1.0,1.057077328755258e-07
current,0.5,128,42,0.0005376369923749304,4.978518112499371e-05,0.003271207180899433,4,4,1.0,1.5553481832500103e-07
current,0.5,128,43,0.0005924006916124235,5.4763699237493086e-05,0.003608915489545109,4,4,1.0,2.2894833505326928e-07
current,0.5,128,44,0.0006526407607736659,6.02400691612424e-05,0.003982601609919558,4,4,1.0,3.3718283581076085e-07
current,0.5,128,45,0.0007189048368510325,6.626407607736664e-05,0.0043963208628611155,4,4,1.0,4.968458883670315e-07
current,0.5,128,46,0.0007917953205361358,7.289048368510331e-05,0.0048546279976117235,4,4,1.0,7.326078689178012e-07
current,0.5,128,47,0.0008719748525897494,8.017953205361364e-05,0.005362646026557139,4,4,1.0,1.0810091401813324e-06
current,0.5,128,48,0.0009601723378487245,8.819748525897502e-05,0.005926145590217392,4,4,1.0,1.5963442926241625e-06
current,0.5,128,49,0.001057189571633597,9.701723378487253e-05,0.0065516365553065494,5,5,1.0,1.4581700656324594e-08
current,0.5,128,50,0.001163908528796957,0.00010671895716335979,0.007246473740197962,5,5,1.0,2.371179831014967e-08
current,0.5,128,51,0.0012812993816766526,0.00011739085287969578,0.008018979103943339,5,5,1.0,3.863095765899496e-08
current,0.5,128,52,0.001410429319844318,0.00012912993816766537,0.008878582767712617,5,5,1.0,6.297991380321525e-08
current,0.5,128,53,0.00155247225182875,0.00014204293198443192,0.009835985772966606,5,5,1.0,1.0281772823073389e-07
