variant,eta_target,grid,step,time,dt,eta_measured,linear_iters,nonlinear_iters,linear_per_nonlinear,residual
paper_tol,0.5,64,1,1e-06,1e-06,3.1974946637328166e-05,2,2,1.0,5.205080032052604e-07
paper_tol,0.5,64,2,2.1000000000000002e-06,1.1e-06,3.517341416252258e-05,2,2,1.0,5.818895186039226e-07
paper_tol,0.5,64,3,3.3100000000000005e-06,1.21e-06,3.8691932718487555e-05,2,2,1.0,6.722722168553749e-07
paper_tol,0.5,64,4,4.641000000000001e-06,1.3310000000000003e-06,4.256255029930528e-05,2,2,1.0,7.976495675266064e-07
paper_tol,0.5,64,5,6.105100000000001e-06,1.4641000000000003e-06,4.6820528703109744e-05,2,2,1.0,9.622629636566834e-07
paper_tol,0.5,64,6,7.715610000000002e-06,1.6105100000000006e-06,5.150466680279562e-05,2,2,1.0,1.1737276846872448e-06
paper_tol,0.5,64,7,9.487171000000002e-06,1.7715610000000007e-06,5.6657656540224194e-05,2,2,1.0,1.4380580639233536e-06
paper_tol,0.5,64,8,1.1435888100000002e-05,1.948717100000001e-06,6.232647499968955e-05,2,2,1.0,1.766190487076633e-06
paper_tol,0.5,64,9,1.3579476910000003e-05,2.1435888100000012e-06,6.856281654669121e-05,3,3,1.0,5.141979575746677e-10
paper_tol,0.5,64,10,1.5937424601000003e-05,2.3579476910000015e-06,7.542356756855362e-05,3,3,1.0,3.658972660682013e-10
paper_tol,0.5,64,11,1.8531167061100006e-05,2.5937424601000017e-06,8.297133205006392e-05,3,3,1.0,4.788466472465933e-10
paper_tol,0.5,64,12,2.1384283767210007e-05,2.853116706110002e-06,9.127500832259192e-05,3,3,1.0,4.925953088424023e-10
paper_tol,0.5,64,13,2.452271214393101e-05,3.1384283767210024e-06,0.00010041042589500226,3,3,1.0,5.946959896670922e-10
paper_tol,0.5,64,14,2.7974983358324114e-05,3.452271214393103e-06,0.00011046104724513796,3,3,1.0,7.191930734634683e-10
paper_tol,0.5,64,15,3.177248169415653e-05,3.7974983358324136e-06,0.00012151874161103832,3,3,1.0,9.822000746241978e-10
paper_tol,0.5,64,16,3.5949729863572185e-05,4.177248169415655e-06,0.00013368463836077113,3,3,1.0,1.2941504290350677e-09
paper_tol,0.5,64,17,4.0544702849929404e-05,4.594972986357221e-06,0.00014707006836061658,3,3,1.0,1.4662422561900847e-09
